source_id,subzone,soil_order,soil_texture,soil_drainage,soil_depth,suitability_score,suitability_level,territorial_authority,area_m2,lat,lon,title_count
01556705-9caa-401f-8d14-d497c29057ef,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,42563.10436456837,-37.89719676266186,176.2853379931972,3
01579983-4861-492e-8955-91e69669af48,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,27088.43229568509,-37.69864968092564,176.13728021841004,37
015d2971-0d01-40a9-8290-96224325a72f,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,78085.0,-37.84106224035113,176.55537052750424,1
015d9106-fbb8-4a4d-baae-60888b65bbb9,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,30757.719596814248,-37.69403797906319,176.0076419440619,1
0161d3e7-0ac9-40aa-95c5-88be37fa0acb,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,49935.0,-37.665297409473126,176.06865607833987,3
016f5faf-3aa0-4ddc-839e-64ab5e9e7063,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,86449.16713346977,-37.57762371172835,175.90903648747187,1
0177f8be-1fc3-4a09-9db3-8073d4664bd7,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Whakatane District,207351.3110712888,-37.90626450449568,176.75132411009776,1
017943c4-ec71-462f-b103-ac2b63737683,,Podzol,Sandy,Well drained,Deep,5.2,Good,Tauranga City,25241.08361471459,-37.6905694914458,176.25247690060226,56
0179f315-c769-491c-b6ca-6a412dc37d23,,Gley,Sandy,Poorly drained,Deep,4.0,Marginal,Whakatane District,102724.63052358148,-37.987829160491614,176.86389559120252,1
017e0a48-ce48-44b2-9595-79b02b97728f,Pongakawa,Pumice,Sandy,Well drained,Deep,8.0,Excellent,Western Bay of Plenty District,107655.0,-37.90077267642948,176.4478322573389,1
017fc784-4929-4501-b254-c53568b2e39b,,Pumice,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,2323320.0,-37.75723743295693,176.46722889601327,1
01808775-267b-4e54-9415-7306f5913980,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,17153.07536346473,-37.74543227174436,176.1919544725497,1
0180aa94-15db-4026-9c55-f8d52838a400,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,32318.240251928542,-37.70966482026521,176.09085037226615,1
01819ea1-7fec-4e0a-86ac-042d66830cc4,,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,10058.040731399617,-37.691426396283646,176.05172704150874,1
0186c3c7-bb9d-4cc4-a053-cfac0b2e20cb,Tauranga,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Tauranga City,15152.239681477811,-37.702847355947455,176.11984133133058,40
018ccf7a-2168-4f43-a7dc-e5197caa54c7,,Gley,Loamy,Poorly drained,Deep,6.0,Good,Western Bay of Plenty District,31912.7452722677,-37.77390196014935,176.4988614467694,1
01965533-93db-47b2-b3c9-c1b6e07d4017,Te Puke,Allophanic,Loamy,Well drained,Deep,10.0,Excellent,Western Bay of Plenty District,335987.0,-37.84638184888526,176.25784152826307,1
