source_id,suitability_score,lcdb_class_2023,subzone,territorial_authority
dfb08266-ffe9-4488-b89d-ed3ea1200648,8.0,Built-up Area (settlement),Tauranga,Tauranga City
2211ebdf-33fe-43fe-b028-4e5cb0c68649,10.0,Indigenous Forest,Tauranga,Tauranga City
c2046fe3-7ea8-4094-842a-3c37c28784f2,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
99995003-adeb-431c-a2d2-76e1f0780f57,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
d581ca86-1131-4b69-9257-3c9e6aa35e20,10.0,Indigenous Forest,,Western Bay of Plenty District
d792894b-3d32-4e4a-92ee-1f638e5a0f9b,8.0,High Producing Exotic Grassland,,Whakatane District
d673a99e-e889-416e-83a8-4128a868d2ef,8.0,High Producing Exotic Grassland,,Whakatane District
b6790878-a187-4994-823c-3475808548a8,10.0,Built-up Area (settlement),Tauranga,Tauranga City
3454e164-d5ce-43b1-b958-e77f64b04b6f,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
caf9e2cf-c4e4-4368-a306-91ada259278a,8.0,High Producing Exotic Grassland,,Whakatane District
ba8a41d7-1c85-4ac1-a014-e65da78dbe1d,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
211b829b-558c-4c94-8c63-c88a4f4ed206,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4edb5134-3cd4-4481-ba38-9d16eb4d8f3a,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
d672ac97-9987-479e-b230-870b69b45c2e,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
acf27c81-7efa-4601-b6c2-c660dc20f81d,8.4,High Producing Exotic Grassland,,��p��tiki District
e6687520-a691-45f0-82ce-df9b19fa72c0,10.0,Low Producing Grassland,Tauranga,Tauranga City
a20101b6-3889-4ccc-a732-3815c5f00f94,8.0,High Producing Exotic Grassland,,Whakatane District
b71cf0f9-4d75-4b3d-a442-69f47e42f326,10.0,Manuka and/or Kanuka,,��p��tiki District
1072f109-7514-4320-b644-e0d3574136b1,10.0,Manuka and/or Kanuka,,��p��tiki District
380b7970-643f-4321-bdf4-b2fe4e30fb6b,10.0,High Producing Exotic Grassland,,Tauranga City
8e1f554d-0d8d-4770-8d67-a7d5129926b3,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
328c48a7-34e0-41a8-8379-0eb985f06021,8.4,High Producing Exotic Grassland,,��p��tiki District
a45adc8f-61c9-4b32-ad20-2166f92d578d,8.0,High Producing Exotic Grassland,,Whakatane District
ef2266ea-aa34-4dca-a20d-20c9e3ab3bdc,8.4,High Producing Exotic Grassland,,Whakatane District
8601bce6-9963-43e0-b6c0-9f392b80c78e,10.0,Manuka and/or Kanuka,,��p��tiki District
31fb07f4-ebda-4db6-bf20-a8e40fb41ad4,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
93c1f77e-ae3f-4939-be2f-2cedd0d955a1,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
376fc4e6-c924-4349-b95f-0661986ff864,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
3e059191-de8f-4b8e-8799-a98db0adc0e4,10.0,Short-rotation Cropland,Katikati,Western Bay of Plenty District
e138d15c-1d87-4707-a890-d5078276cd21,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
729c4099-b3fa-41c3-99f7-94c5c45647b5,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
33be66cc-7df2-4167-b93c-483f8cd702b6,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
df6a32df-9afa-4b69-9e8c-73641b41a185,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b468f46b-a3d7-4a13-af76-7ade365866eb,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
09f0fec9-4051-4108-924c-47e4cb5d4a51,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
2ad4705a-6312-4a9e-853e-0c7560fd57d6,10.0,Built-up Area (settlement),Tauranga,Tauranga City
09b8b905-8b28-495c-b2df-bc34c9b7e619,10.0,Indigenous Forest,Tauranga,Western Bay of Plenty District
d47efdc5-f77d-42f3-8dc7-bdb3546dd7e5,8.4,High Producing Exotic Grassland,,Whakatane District
5313fa8c-b9f5-4619-aaaa-5ecc2d256b6e,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
43c20185-3e4e-49da-b13d-8729fdb2a14f,10.0,Exotic Forest,,Whakatane District
df12c9b7-ed31-4595-95ff-9f400ba8a1ce,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
612d7c4b-c6ef-429f-a98c-e716172c85f4,9.6,Indigenous Forest,Tauranga,Western Bay of Plenty District
7b079c28-3333-4670-8801-5781b53c6241,8.4,High Producing Exotic Grassland,,Whakatane District
7747cd48-019c-4611-96c0-ffbc26bc5826,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
79fe1d5a-a8ed-4f9b-9bc4-e19dcd932fbf,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
abd97d5b-67f6-4964-bca7-4bbd5997cf7a,8.4,High Producing Exotic Grassland,,Whakatane District
7e60a5ae-d9a3-47f8-a8e9-b4291b11bcab,8.0,High Producing Exotic Grassland,,Whakatane District
e7b4f1fd-edef-43c5-8f40-bb6dba817e31,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
cc5217c5-8e1e-4f98-b2f4-aebe244769fb,10.0,High Producing Exotic Grassland,,��p��tiki District
345f7875-76b4-4c2e-a1fb-5866c7718ce3,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
de3ba29e-b696-49c2-8239-23ee17bd4ea0,8.4,Manuka and/or Kanuka,,��p��tiki District
8ef8a8b8-4e12-4565-922c-414fabb3dcea,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
e9712f7e-3702-46f6-90b3-b310523f4034,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
26df0a07-4aa0-4058-af4b-cf97d51f6b73,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
f24c820b-6aca-4da4-a59b-7b4ade787ff6,10.0,Urban Parkland/Open Space,Tauranga,Tauranga City
c1019410-72c2-41aa-8db8-de51e725f172,10.0,Broadleaved Indigenous Hardwoods,,Western Bay of Plenty District
d2421316-3a4e-42b4-8447-c20c1e97bf27,10.0,High Producing Exotic Grassland,,��p��tiki District
1f8193fa-b99a-48ef-a38e-749201f8ce36,8.0,Manuka and/or Kanuka,,Whakatane District
204479a1-4167-489c-84aa-05610672852c,8.0,High Producing Exotic Grassland,,Whakatane District
c5502163-5ca2-4fe7-9746-a5c7412fb6e4,8.4,High Producing Exotic Grassland,,��p��tiki District
47cf300a-d0c6-447f-b7bc-ed0f55825618,10.0,High Producing Exotic Grassland,,��p��tiki District
58b2f97d-9e68-47a8-bc5f-4f70ae2f793c,8.0,High Producing Exotic Grassland,,Whakatane District
5a3f26e8-2a36-40d1-9059-4d3649c90458,10.0,Indigenous Forest,,Western Bay of Plenty District
d6fa46d7-41ea-47c0-a324-601b826bb7b9,8.4,High Producing Exotic Grassland,,��p��tiki District
5ddbc598-4c54-40e1-89cd-b03e3e6365aa,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
df9741aa-99d7-4051-926e-60bcbbd409bf,10.0,Built-up Area (settlement),Tauranga,Tauranga City
f3ebe78f-9b5a-4ca9-a78a-ded386058bcd,8.0,Short-rotation Cropland,,Whakatane District
b4a21be8-a1dd-437f-90f5-1de3462bcad0,10.0,High Producing Exotic Grassland,,��p��tiki District
4edd2463-05d9-4802-80ea-f9257fd13ca7,8.4,Short-rotation Cropland,,��p��tiki District
625e9797-2fc4-4aad-9ea3-3e8bbf0cd53e,8.4,High Producing Exotic Grassland,,Whakatane District
1cea0041-c8b4-4ed0-b9aa-2e76f0a0212d,10.0,High Producing Exotic Grassland,,��p��tiki District
2ed687e8-9c84-46ac-a0aa-49c505d92211,8.0,Indigenous Forest,,Whakatane District
c3b2ab39-5e9d-4f58-a2bb-4e9625c8005e,8.0,High Producing Exotic Grassland,,Whakatane District
f495e858-0087-4d37-908a-974df7948355,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
GS2C/1378,8.4,High Producing Exotic Grassland,,��p��tiki District
6dccc57e-4d49-4131-8ffb-83a135c3da46,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4575320,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
bca0f885-5759-41bd-9da8-a3ada821b3a3,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
c283e005-6d0a-4ad9-b0ab-a5948ea96e27,8.4,Manuka and/or Kanuka,,��p��tiki District
e844c879-609d-4dec-82de-8ade59fa52af,8.4,High Producing Exotic Grassland,,Whakatane District
2f03d86e-1426-462d-8e98-0c413ec512f2,10.0,Indigenous Forest,,��p��tiki District
9d53c912-273f-4994-92b9-c79ec5a5336e,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
a0a87141-f5d6-41cc-ab43-246176f6cb94,10.0,Built-up Area (settlement),Tauranga,Tauranga City
5cef58d7-c80b-4c6a-864f-b19be91cd57a,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
5e293b9c-f60b-42e8-abd1-aa837366cc1e,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
60643599-6aef-4408-b55a-4a668839d93d,9.6,Indigenous Forest,,Western Bay of Plenty District
3f7346d3-28e2-45e6-9200-f909ec174462,8.4,High Producing Exotic Grassland,,Whakatane District
8f5a944f-ced8-442c-9c75-e8698ffd4277,10.0,Built-up Area (settlement),Tauranga,Tauranga City
9ce8e78f-16f0-4aea-b472-8fe96c36f5b0,10.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
130af3b5-b2f0-4599-ad3b-d245192564a3,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
eef2d2bc-576b-4066-a9ca-093080dd2b83,8.0,Built-up Area (settlement),Tauranga,Tauranga City
0a5987ef-4fa3-465b-8365-5a1bbf1c95a5,10.0,Built-up Area (settlement),Tauranga,Tauranga City
932ff935-bf8a-48bb-a608-fb44c1ed7603,10.0,High Producing Exotic Grassland,,Whakatane District
27ed42a7-bcc1-410a-9913-72be7a1ddfc6,8.0,Forest - Harvested,,Whakatane District
fb2afac0-0d96-4869-a821-3f113fc5d49e,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
54c3721c-a196-4b9d-b895-df8208f6cd33,10.0,High Producing Exotic Grassland,,Whakatane District
267525,10.0,High Producing Exotic Grassland,,��p��tiki District
94a93d32-7409-4f06-80c3-04f5c1ca4c03,8.0,High Producing Exotic Grassland,,Whakatane District
353702,8.0,High Producing Exotic Grassland,,Whakatane District
612637,9.6,Exotic Forest,,Whakatane District
02731104-1996-4ec6-8519-7566d4a88c45,10.0,Built-up Area (settlement),Tauranga,Tauranga City
7739309,8.4,High Producing Exotic Grassland,,Whakatane District
3aa99be3-bf09-4088-ae2f-7cd657a102c0,8.2,High Producing Exotic Grassland,,Whakatane District
bd976215-c2cf-464b-8794-dbbec4f78467,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
e363b7c3-98e9-42b8-b40e-48bd39ad64e3,10.0,Built-up Area (settlement),Tauranga,Tauranga City
467a07e4-9a3c-4716-8c47-5dadd92e4c21,8.0,High Producing Exotic Grassland,,Whakatane District
706cb146-0bf2-4a1b-847f-584b3967bca3,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
8d8226ff-30a7-407b-b85b-215e3e9ea7e1,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
12beb4a3-3346-4de2-a8d6-9657d401d21d,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
4a5c4a84-c2d6-466e-8792-de5475bf81de,10.0,Broadleaved Indigenous Hardwoods,Tauranga,Tauranga City
e32a86c0-8e56-4700-a243-3d6ea38ab53a,10.0,High Producing Exotic Grassland,,��p��tiki District
d765c6ec-7d8c-4a9c-bfad-7951d67726f7,8.8,Indigenous Forest,,Western Bay of Plenty District
32037189-5813-4546-a144-dd4180d6ab63,10.0,Gorse and/or Broom,,Western Bay of Plenty District
34590082-5b1e-474d-ad95-7468c8934d0b,10.0,High Producing Exotic Grassland,,��p��tiki District
dabf3045-0257-4a0d-81bc-4fbdc6de0dcf,10.0,High Producing Exotic Grassland,,Whakatane District
55ab845e-39c4-4586-a328-0f6bda21aa5d,10.0,High Producing Exotic Grassland,,��p��tiki District
64cb8213-9c67-4870-9622-ad284425e701,10.0,High Producing Exotic Grassland,,��p��tiki District
8a26d02d-b465-41f5-9d7f-7ecbaac49845,10.0,Built-up Area (settlement),Tauranga,Tauranga City
1bfddcb8-978b-4026-9c82-d30cf3b49bcf,10.0,Indigenous Forest,,Western Bay of Plenty District
8329639,8.4,Low Producing Grassland,,��p��tiki District
3f3e781c-ebf1-4f36-8663-dd75276b57ba,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
ff8f84ac-9957-4302-9d9b-d47d9ef75b68,8.0,High Producing Exotic Grassland,,Whakatane District
cb397c36-3dce-48bd-9d4c-e04948b8b74f,10.0,Short-rotation Cropland,,Western Bay of Plenty District
7404a34c-8222-43eb-82f4-9e51e1d2ec57,10.0,High Producing Exotic Grassland,,Tauranga City
4563341a-1f7d-4959-9ef1-815c413c5706,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b2c9d9d2-f1b1-4b06-8971-1224439e432f,8.4,Short-rotation Cropland,,Whakatane District
3347949b-8c19-4ca7-90dc-eed1ed2f0326,8.4,High Producing Exotic Grassland,,��p��tiki District
787f4b5f-e794-4563-a6cb-017607ce99a5,8.0,Indigenous Forest,Te Puke,Western Bay of Plenty District
7aed7c9e-caaf-437d-bf8a-7886e6f3e62b,10.0,Deciduous Hardwoods,Tauranga,Tauranga City
24a87a78-4010-4b5f-bb03-8796ef7aaf95,10.0,Broadleaved Indigenous Hardwoods,,Western Bay of Plenty District
25955ebd-9347-4aa8-9840-eab584f427ca,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
ce41ac69-32af-4bde-b717-38ab00e193db,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
d61da2d9-4279-4161-b7bc-261f3c0e8468,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
d934045f-02c4-4546-9458-409d5f154c21,10.0,Built-up Area (settlement),Tauranga,Tauranga City
8f3bc489-2687-40af-ad9d-a34b2073971c,8.0,High Producing Exotic Grassland,,Whakatane District
17dbae2d-e926-4c78-9775-651b3b293125,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
142d59ed-9383-44a2-8439-2583ac8e2466,8.0,High Producing Exotic Grassland,,Whakatane District
11c5ced3-2318-4b0b-a2e1-2e4135424174,10.0,Short-rotation Cropland,,��p��tiki District
cbac40f6-da61-4c88-bfe1-63add7bcda53,8.0,High Producing Exotic Grassland,,Whakatane District
d7e9b807-09e9-4b55-b584-7bce824875cd,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
a11842da-9a71-4137-8e2e-602434daa3c1,8.0,High Producing Exotic Grassland,,Whakatane District
4e18d5ff-73eb-4bc2-b7ed-9b7547f328f1,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
e0f38b2c-24f8-454a-abb2-0348ea920cc1,8.4,High Producing Exotic Grassland,,Whakatane District
9b368322-c3ec-4f19-bcb7-809046717020,8.4,Manuka and/or Kanuka,,��p��tiki District
512a2a87-23c5-4599-9f4d-3026429a3a28,10.0,Built-up Area (settlement),Tauranga,Tauranga City
59b3b46b-0c47-4350-927e-11cff41a4325,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
db78f51a-49ed-4d2c-be53-5098c57ed1cf,10.0,Built-up Area (settlement),Tauranga,Tauranga City
75c5df28-f259-4f43-943c-8476d6ae21d5,10.0,Built-up Area (settlement),Tauranga,Tauranga City
f0c82e9f-b76c-4088-aeaf-1f0d8196e56b,10.0,Built-up Area (settlement),Tauranga,Tauranga City
09c2ef61-e44f-4bbf-ba57-851eeb0e31de,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4daa9798-421c-4daf-b8f0-14df22dcce66,8.0,High Producing Exotic Grassland,,Whakatane District
9e0bf6d1-1f42-43a2-88d2-65ee80a2564c,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
f6e74c7e-a2f5-421a-8ed3-91939f61cb92,10.0,Built-up Area (settlement),Tauranga,Tauranga City
1500ec5c-733d-44e1-8439-ef469101265d,8.0,Manuka and/or Kanuka,,Whakatane District
4e49a123-de66-4823-9ed3-770975d34746,10.0,Indigenous Forest,,Whakatane District
00b5c827-ed2a-403f-aa3e-ba629dea55ea,8.4,Indigenous Forest,,��p��tiki District
7050cb65-bf46-4a4f-84bf-901667ea81ac,8.0,High Producing Exotic Grassland,,Whakatane District
efd4d5ca-62b8-4aad-bbf3-e622478ebfa9,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
93756b0a-bceb-4eee-bf14-85786a4d8fe9,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b0e8bed6-f20e-488d-a1ab-fc7ac224bf24,10.0,High Producing Exotic Grassland,,Whakatane District
7e6cb2e8-625a-4368-b895-c328599afcb7,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
370bf04e-5475-484f-af4c-924fa2643d2c,8.0,High Producing Exotic Grassland,,Whakatane District
844ee057-6f55-4edb-947e-97a46055a71f,10.0,High Producing Exotic Grassland,,Whakatane District
204e797e-69cc-4ab1-a450-eb52b5c0e03a,8.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
5e1ca0bc-90c8-40a3-b51b-ffe8814150a1,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
226b729f-4a7b-4bb5-8334-9a1ca4e19fcb,9.6,Manuka and/or Kanuka,,Whakatane District
fa816642-392e-4019-aaa8-775cc8d08d15,10.0,Built-up Area (settlement),,Tauranga City
870299e7-bf1a-417f-838f-423d77bbd5c5,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
d17c68a1-6858-4cc0-a2f5-cc433e72a744,8.4,Short-rotation Cropland,,��p��tiki District
49c1d601-d18b-4617-bccf-b3b7b0069add,8.0,High Producing Exotic Grassland,,Whakatane District
7320b3a4-c51c-464e-b016-ebc4bab45ebc,8.0,High Producing Exotic Grassland,,Whakatane District
66e4099b-f164-4936-87cc-79a999ae8c3c,10.0,Manuka and/or Kanuka,,��p��tiki District
54e09071-81e0-493e-b460-20588ab878a0,8.0,High Producing Exotic Grassland,,Whakatane District
73a82a58-7eaa-4e1b-83e8-40ffab7836c6,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
278df43d-e88a-420c-a83d-112ac9c34991,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
5cdfe476-7b05-467a-bb6e-3dc4c947f82b,10.0,Built-up Area (settlement),Tauranga,Tauranga City
ec7973bd-8403-4166-ac68-b30eb5aa1b2f,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
043e1ad5-8e6b-4908-b987-b6ca322881c7,10.0,Built-up Area (settlement),Katikati,Western Bay of Plenty District
101d4450-b820-468e-81c8-503de2f7503d,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
9761b593-588c-473d-ae05-a59080797c78,8.4,High Producing Exotic Grassland,,��p��tiki District
ad3e743b-6d5b-40d1-8443-e6f2abb1ce83,10.0,High Producing Exotic Grassland,,Whakatane District
914f4d3c-5523-4708-b301-488735a76fba,9.6,Indigenous Forest,,Western Bay of Plenty District
970e3b67-804a-498f-91cf-9623f467be6b,10.0,High Producing Exotic Grassland,Te Puke,Western Bay of Plenty District
247b997c-3a7d-485c-9422-8f372a1b185d,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
c3e5def1-7c3e-40ec-886b-339a40b7f584,8.0,High Producing Exotic Grassland,,Whakatane District
39dfce2e-f32d-4e34-a7c8-53d9801c9654,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
142dd3d8-0dc8-4099-b53d-432d11670dc3,8.0,High Producing Exotic Grassland,,Whakatane District
e7aa9fde-7465-4586-a8dd-128e5745b01a,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
02bdf2fa-72f3-4b62-8cae-66ea05dcb8b1,9.6,Indigenous Forest,Tauranga,Western Bay of Plenty District
bb7f49e4-8759-4c54-8a01-8cd5541b8881,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
eb837100-985e-4038-b134-003a0daec3c6,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
0ee0963e-121c-45be-bad7-27e63996e326,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
0f650ca3-d561-40e8-99db-1a1a4509e4e6,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
dabf61a9-7039-48e3-9c1c-76a27a236470,9.6,Exotic Forest,,Whakatane District
84f4d3de-284b-4ed7-912f-30ca3eb238c3,8.0,High Producing Exotic Grassland,,Whakatane District
a796b073-04d8-4027-a22b-2822ac794d1e,10.0,Built-up Area (settlement),Tauranga,Tauranga City
be05dbdd-27c1-48a5-9aa6-13021f7d0a3b,8.0,Broadleaved Indigenous Hardwoods,,Whakatane District
32a15b56-69bd-4cf6-8371-197bb6857d6f,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
6680e015-703f-42da-a080-06802f29aba4,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
25cdaf6e-5c7e-482d-8a3f-e7980f0ea74a,10.0,High Producing Exotic Grassland,,Whakatane District
39e68b17-2cbf-408e-be2b-3314059521d7,10.0,Built-up Area (settlement),Katikati,Western Bay of Plenty District
5c30260e-99f6-4d86-9e31-52ed90b62cea,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
fa6e0e2d-0772-4890-b32c-08f40cead4e6,10.0,Built-up Area (settlement),Tauranga,Tauranga City
3d951b8c-9b0d-4c28-a36c-864f1d672972,8.0,High Producing Exotic Grassland,,Whakatane District
480bc39a-16d1-49b8-9f2a-e363092d0b90,8.0,High Producing Exotic Grassland,Pongakawa,Western Bay of Plenty District
4836bd76-dd86-4f69-90fc-8be8e7d646c0,10.0,Urban Parkland/Open Space,,Western Bay of Plenty District
58bc43be-92ca-402e-b323-995cd813f048,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
SA43/274,9.6,Broadleaved Indigenous Hardwoods,,Whakatane District
9d318ebf-c740-4c3c-b9a7-a831704ed98e,8.0,High Producing Exotic Grassland,,Whakatane District
9ba3cc05-9ea2-4a0f-b1f9-7b0c115093b5,10.0,High Producing Exotic Grassland,,��p��tiki District
1ff4127a-6ac0-482c-a2c1-1fe544c8f766,8.0,Manuka and/or Kanuka,,Whakatane District
b9b7b4f7-4668-4011-ad32-506f20c7ad8d,9.6,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
6331dc3c-d534-4f88-aedb-11618f4dfbc2,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
b98c2efd-626e-4ebf-bbbc-9794a7a7bea1,8.0,High Producing Exotic Grassland,,Whakatane District
7117d2c7-7604-42b1-a121-02ea10ae69fe,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
3e83fcc2-fc88-466b-bf61-75c400a27624,10.0,Built-up Area (settlement),Tauranga,Tauranga City
6a135c26-e462-4d46-9926-09b272390047,10.0,High Producing Exotic Grassland,,��p��tiki District
e92e459a-3cf1-445f-b6e5-f18c566c2272,8.0,High Producing Exotic Grassland,,Whakatane District
2a053a78-5fdb-4865-a793-e689d8bf132d,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
11e18d38-d89a-4f61-9245-0cbd326bc393,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
3f89f32a-ea57-44ce-a894-f126f50505cb,10.0,Built-up Area (settlement),Tauranga,Tauranga City
7b345ecf-9634-4b12-a98c-a174e23f2d91,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
e55eb37f-832e-42b6-806c-54d0c9c14669,10.0,Built-up Area (settlement),Tauranga,Tauranga City
c7298511-8f44-4c61-8828-a48a8be070cc,10.0,Manuka and/or Kanuka,,��p��tiki District
60ebfadd-1c83-4089-a89a-1c5ebeb0f10d,8.0,Built-up Area (settlement),Te Puke,Western Bay of Plenty District
bdb52d63-5487-41d5-8cdf-eca7520bab0b,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
8f8cb1f8-6052-4171-b456-038cac1b0e09,8.8,Indigenous Forest,,Western Bay of Plenty District
ad4a09fd-6cb0-46bb-90ce-b37e513d96fd,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
31f6f2e6-4027-4319-81b6-3857b9bc6b39,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
9fcabdb7-fc82-4514-a650-195476b58cc9,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
5545b97f-6357-4583-81a6-5cd5ce9896f2,8.0,Indigenous Forest,,��p��tiki District
bf4a3465-162c-4135-8f0f-82ce1a4e9ef7,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
39b5bd0d-acfa-4d40-b1fd-39de7b6480b8,8.0,High Producing Exotic Grassland,,Whakatane District
0474de73-f3a4-462f-a8d1-255f3fdc3a30,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
0c7e57b9-f422-40e1-8535-875cdfad0446,8.0,Deciduous Hardwoods,,Whakatane District
04eddee4-abbf-430e-aff3-605677ef3705,8.8,Indigenous Forest,,Western Bay of Plenty District
c459dbc8-675c-4f76-80e2-d47210b9514d,10.0,Exotic Forest,,Western Bay of Plenty District
fbcd01ff-ca10-4e00-8b17-caf3eb9d31ea,8.4,High Producing Exotic Grassland,,��p��tiki District
3fb44c97-41e7-4197-a5f2-791e4bf19b02,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
82e8f3af-5082-4bf8-95e0-b17114f09a05,10.0,Built-up Area (settlement),Tauranga,Tauranga City
3dab6fe0-5295-41bf-95c9-2f2b98f71515,8.4,Indigenous Forest,,��p��tiki District
2ece505f-f72f-46dc-acd7-5e2516f70975,9.6,Indigenous Forest,Tauranga,Western Bay of Plenty District
f998b6cd-9a64-467c-a277-29fc61681d48,8.4,High Producing Exotic Grassland,,��p��tiki District
836a0f2f-733c-4ed1-a2b7-82bfee493ba0,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
3dce8d1b-67fb-4807-9d51-1046f94dd68b,8.4,High Producing Exotic Grassland,,Whakatane District
4ef8db99-2f6f-48c0-bd98-f0f33c64aaee,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
90e30309-0716-4bd3-9e42-f3b87d66ac68,8.0,High Producing Exotic Grassland,,Whakatane District
bf5c4401-57ce-4989-ae3c-936c39786b07,8.0,High Producing Exotic Grassland,,Whakatane District
e5875fb5-1f6b-43d7-a04f-46feb3122e81,8.0,High Producing Exotic Grassland,,Tauranga City
e3069a6b-6a97-490d-a01b-bfc2497d331d,8.4,Short-rotation Cropland,,��p��tiki District
f2523cae-5759-41dc-9a70-071ab0cda328,8.8,Indigenous Forest,,Western Bay of Plenty District
4581286,10.0,High Producing Exotic Grassland,,Whakatane District
d57b012d-e709-454a-9c41-0063e567a2a5,8.0,High Producing Exotic Grassland,,��p��tiki District
d685985f-d2fc-4097-b317-9140a156043f,10.0,High Producing Exotic Grassland,Tauranga,Tauranga City
384b0d02-fd8a-44f9-bd72-60b586c997be,10.0,High Producing Exotic Grassland,Tauranga,Western Bay of Plenty District
66de724d-dce0-41fd-9b49-73dadec0f81c,10.0,Built-up Area (settlement),Katikati,Western Bay of Plenty District
3675492c-8a50-49a1-8957-e0cd49af408c,8.0,High Producing Exotic Grassland,,Whakatane District
76a5648c-6624-4b6e-bc5f-2435da3a1369,8.0,High Producing Exotic Grassland,,Whakatane District
