source_id,suitability_score,lcdb_class_2023,subzone,territorial_authority
02190c72-d365-43e6-ba97-c64898901a9d,8.0,Exotic Forest,,Whakatane District
4589317,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4582726,10.0,Exotic Forest,,Western Bay of Plenty District
4587184,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
8252358,10.0,Broadleaved Indigenous Hardwoods,,Whakatane District
4470093,8.0,High Producing Exotic Grassland,,Whakatane District
7405152,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4584647,8.8,High Producing Exotic Grassland,,Western Bay of Plenty District
4604478,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
7588189,8.8,Exotic Forest,,Western Bay of Plenty District
4603316,10.0,Indigenous Forest,,Western Bay of Plenty District
8537414,8.0,Indigenous Forest,Pongakawa,Western Bay of Plenty District
4583185,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4583580,10.0,Broadleaved Indigenous Hardwoods,,Western Bay of Plenty District
4408399,9.6,Manuka and/or Kanuka,,Whakatane District
4581473,8.0,High Producing Exotic Grassland,,Whakatane District
4153467,8.0,High Producing Exotic Grassland,,��p��tiki District
4571705,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4586558,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4601340,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4297008,8.0,Built-up Area (settlement),,Whakatane District
4577470,8.4,High Producing Exotic Grassland,,Whakatane District
4578582,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4603267,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4153080,8.4,High Producing Exotic Grassland,,��p��tiki District
4580733,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4353561,8.0,Broadleaved Indigenous Hardwoods,Pongakawa,Western Bay of Plenty District
4604084,10.0,Transport Infrastructure,,Western Bay of Plenty District
4576270,9.6,Built-up Area (settlement),,Whakatane District
4604291,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4590502,8.4,Short-rotation Cropland,,Whakatane District
4605556,8.0,High Producing Exotic Grassland,,Whakatane District
4573699,9.6,Exotic Forest,Tauranga,Western Bay of Plenty District
4569077,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
7550170,8.0,Exotic Forest,,Whakatane District
4604495,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4537045,8.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4603262,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
7440589,9.6,Exotic Forest,,Western Bay of Plenty District
4578396,8.4,High Producing Exotic Grassland,,Whakatane District
4606504,8.0,Manuka and/or Kanuka,,Whakatane District
8196760,8.0,Built-up Area (settlement),Tauranga,Tauranga City
6558667,9.6,High Producing Exotic Grassland,,Western Bay of Plenty District
4573058,8.0,Short-rotation Cropland,,Whakatane District
4569659,8.0,High Producing Exotic Grassland,,Whakatane District
4156343,8.4,High Producing Exotic Grassland,,��p��tiki District
4604667,10.0,Indigenous Forest,,Western Bay of Plenty District
4576327,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4155835,8.4,Short-rotation Cropland,,��p��tiki District
4566846,8.4,High Producing Exotic Grassland,,Whakatane District
4578527,10.0,High Producing Exotic Grassland,,Western Bay of Plenty District
4108535,10.0,Indigenous Forest,,��p��tiki District
4346690,8.0,Built-up Area (settlement),,Whakatane District
4605370,9.6,Indigenous Forest,,Western Bay of Plenty District
6904386,8.4,Indigenous Forest,,��p��tiki District
4569345,8.0,High Producing Exotic Grassland,,Whakatane District
4602187,10.0,High Producing Exotic Grassland,,Whakatane District
4578539,8.0,High Producing Exotic Grassland,,Whakatane District
4576028,8.4,High Producing Exotic Grassland,,Whakatane District
4589250,10.0,Exotic Forest,,Western Bay of Plenty District
4583650,8.4,Short-rotation Cropland,,Whakatane District
4151409,10.0,High Producing Exotic Grassland,,��p��tiki District
4153205,10.0,High Producing Exotic Grassland,,��p��tiki District
4156606,8.0,High Producing Exotic Grassland,,��p��tiki District
